902,2016-11-23,944,358,372
903,2016-11-23,4585,920,995
904,2016-11-23,0,0,0
905,2016-11-23,721,224,232
906,2016-11-23,1602,345,359
907,2016-11-23,717,277,295
908,2016-11-23,498,180,194
909,2016-11-23,65,51,53
911,2016-11-23,88,55,55
913,2016-11-23,0,1,1
914,2016-11-23,749,189,210
917,2016-11-23,2201,913,983
918,2016-11-23,5454,1881,2023
919,2016-11-23,1248,244,252
920,2016-11-23,124,82,85
921,2016-11-23,846,447,475
922,2016-11-23,101,62,62
923,2016-11-23,99,68,72
924,2016-11-23,243,67,70
925,2016-11-23,230,110,115
926,2016-11-23,1034,369,389
927,2016-11-23,134,92,97
928,2016-11-23,146,56,57
929,2016-11-23,137,125,128
930,2016-11-23,77616,13632,15379
932,2016-11-23,11909,2277,2431
933,2016-11-23,1978,909,946
934,2016-11-23,1286,411,434
935,2016-11-23,0,0,0
937,2016-11-23,3094,592,613
939,2016-11-23,22993,4340,4544
940,2016-11-23,30552,4380,4792
942,2016-11-23,3183,1064,1103
943,2016-11-23,2766,1067,1141
944,2016-11-23,0,0,0
945,2016-11-23,0,1,1
946,2016-11-23,1245,1182,1234
947,2016-11-23,3176,563,582
948,2016-11-23,6169,1093,1153
949,2016-11-23,4347,901,962
950,2016-11-23,401,231,236
951,2016-11-23,17418,4366,4686
952,2016-11-23,164,107,114
953,2016-11-23,899,316,320
954,2016-11-23,628,450,467
955,2016-11-23,8745,1020,1085
956,2016-11-23,12382,1877,2000
957,2016-11-23,1325,303,311
958,2016-11-23,474,206,219
959,2016-11-23,2399,717,752
960,2016-11-23,5,9,9
961,2016-11-23,281,137,144
962,2016-11-23,3096,844,905
963,2016-11-23,0,0,0
966,2016-11-23,81,70,71
967,2016-11-23,175,124,126
968,2016-11-23,173,127,128
969,2016-11-23,110,70,70
971,2016-11-23,502,121,126
972,2016-11-23,89,77,78
973,2016-11-23,38499,6543,7023
974,2016-11-23,35,33,33
975,2016-11-23,26310,2987,3245
976,2016-11-23,55224,9152,10084
977,2016-11-23,143,127,134
978,2016-11-23,2560,828,878
979,2016-11-23,189,96,100
980,2016-11-23,1218,454,478
990,2016-11-23,1167,379,390
991,2016-11-23,735,489,506
992,2016-11-23,26610,6701,7443
993,2016-11-23,4006,2280,2464
994,2016-11-23,1680,431,460
995,2016-11-23,1779,1109,1147
996,2016-11-23,2226,646,680
998,2016-11-23,2909,1161,1255
999,2016-11-23,256,234,235
1001,2016-11-23,652,246,254
1002,2016-11-23,537,205,211
1003,2016-11-23,10390,3831,4145
1004,2016-11-23,8874,3158,3408
1005,2016-11-23,1603,528,554
1006,2016-11-23,0,0,0
1007,2016-11-23,19044,6109,6704
1008,2016-11-23,0,0,0
1009,2016-11-23,266,177,180
1010,2016-11-23,1612,544,555
1011,2016-11-23,692,263,272
1012,2016-11-23,328,173,177
1013,2016-11-23,279,180,181
1014,2016-11-23,0,2,2
1015,2016-11-23,224,69,70
1016,2016-11-23,1278,221,228
1017,2016-11-23,3201,506,538
1018,2016-11-23,690,437,439
1019,2016-11-23,182,159,168
1020,2016-11-23,32,43,47
1021,2016-11-23,97,80,84
1022,2016-11-23,30,27,27
1023,2016-11-23,119,107,110
1024,2016-11-23,886,790,803
1025,2016-11-23,7411,1618,1732
1026,2016-11-23,46,45,46
1027,2016-11-23,62,55,56
1028,2016-11-23,122,84,87
1029,2016-11-23,12713,3309,3535
1030,2016-11-23,10309,3100,3329
1031,2016-11-23,95,81,84
1032,2016-11-23,174,102,102
1033,2016-11-23,101,66,67
1038,2016-11-23,123,87,89
1039,2016-11-23,0,0,0
1040,2016-11-23,412,266,280
1041,2016-11-23,72,48,49
1042,2016-11-23,137,57,57
1043,2016-11-23,1,2,2
1044,2016-11-23,3924,919,972
1045,2016-11-23,59,56,56
1046,2016-11-23,6696,1530,1674
1048,2016-11-23,212,149,150
1049,2016-11-23,4048,1232,1331
1050,2016-11-23,2552,759,832
1051,2016-11-23,157,67,68
1052,2016-11-23,988,562,569
1053,2016-11-23,370,340,350
1054,2016-11-23,380,137,140
1055,2016-11-23,1311,512,523
1056,2016-11-23,1182,704,718
1057,2016-11-23,393,220,228
